com.samsung.health.sleep_stage,6307003,7
create_sh_ver,start_time,sleep_id,custom,modify_sh_ver,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
62930070,2025-02-22 08:12:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40003,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:17:30.000,ded5d919-e936-47f3-88ae-adf71ef25c37,
62930070,2025-02-22 08:17:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:18:00.000,919c4ce1-5cc9-463f-b8fc-d03f0ce08ba2,
62930070,2025-02-22 08:18:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:21:30.000,cd7983d9-08a5-46a7-aa09-4893bc0641b0,
62930070,2025-02-22 08:21:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:22:30.000,f79b729e-46f4-448b-8c74-2212e4e82027,
62930070,2025-02-22 08:22:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:30:00.000,9e181cc8-c049-4524-b327-36226b4245e3,
62930070,2025-02-22 08:30:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:30:30.000,92acd826-c463-41cc-a0e2-68733a55f818,
62930070,2025-02-22 08:30:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:34:30.000,3574e5b6-d6a9-4572-9ae2-fd41f006bbfa,
62930070,2025-02-22 08:34:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:35:00.000,17f10c00-1a78-4d0e-b0b0-f0353bc6a54b,
62930070,2025-02-22 08:35:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:35:30.000,07a8f6da-1993-4e2e-b563-0d7c6c72e751,
62930070,2025-02-22 08:35:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:37:00.000,aef9f600-cd87-46c3-bd4f-0a4e4682f6c3,
62930070,2025-02-22 08:37:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:44:00.000,c4f59cf2-3ce5-411f-969f-abbd2db83977,
62930070,2025-02-22 08:44:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:44:30.000,11e65a93-2a7e-45ae-b19a-b3327c875611,
62930070,2025-02-22 08:44:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:47:00.000,1c93d1b9-8524-4d6b-af50-2806f016316a,
62930070,2025-02-22 08:47:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40004,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:49:00.000,15329321-b34f-4b1e-a883-4f8b6fca132f,
62930070,2025-02-22 08:49:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:49:30.000,5a38c01a-0511-4fee-9e70-64640585ab99,
62930070,2025-02-22 08:49:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:51:30.000,af0c9e01-7194-4d13-b9a4-977dc9424276,
62930070,2025-02-22 08:51:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40004,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:52:30.000,d884af11-2797-47b6-9988-f6aec41a3072,
62930070,2025-02-22 08:52:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:53:00.000,2243dda7-fe9a-433a-9ff1-e7cc03c10595,
62930070,2025-02-22 08:53:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:55:30.000,b0788e77-f85e-47aa-815f-6a0c3391ade8,
62930070,2025-02-22 08:55:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40004,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 09:05:00.000,f2f5600c-ce66-4891-91c5-c41411fb773a,
62930070,2025-02-22 09:05:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 09:05:30.000,b1309496-ce3f-4c1d-95fb-051e64a5a84d,
62930070,2025-02-22 09:05:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40004,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 09:06:30.000,80f95302-e3a3-4508-9eff-8c6bd49f5444,
62930070,2025-02-22 09:06:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 09:16:30.000,1959740e-cde7-48b4-99cb-7e7dd63e6f79,
62930070,2025-02-22 09:16:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 09:22:30.000,844e5949-f233-4ca6-af31-493dd45dcccd,
62930070,2025-02-22 09:22:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40004,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 09:43:30.000,5c28d782-edb1-4112-8609-635a819d5b92,
62930070,2025-02-22 09:43:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 09:59:00.000,b1eb22e5-76c7-4f56-86ec-f13866547c01,
62930070,2025-02-22 09:59:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40003,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 10:05:00.000,e07c2a16-f3ba-4422-8c17-967ba9bffce0,
62930070,2025-02-22 10:05:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 10:22:00.000,af067ca2-9bc0-4b48-9167-722c6e5e3026,
62930070,2025-02-22 10:22:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40003,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 10:30:30.000,f731449f-68e6-4fe9-befb-8a258eaa8fd5,
62930070,2025-02-22 10:30:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 10:31:00.000,8558445f-8cbd-48e1-b3d8-7989e12479d5,
62930070,2025-02-22 10:31:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 10:40:30.000,4d5d6e5d-674c-4dd0-a334-2d0c200c36ca,
62930070,2025-02-22 10:40:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.623,2025-02-22 12:33:08.623,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 10:41:00.000,bf2a60c5-d0f0-44dd-85be-352978d96931,
62930070,2025-02-22 10:41:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.624,2025-02-22 12:33:08.624,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 10:45:00.000,fbaa959d-6293-456a-95d2-706b5ded6b28,
62930070,2025-02-22 10:45:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.624,2025-02-22 12:33:08.624,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 10:45:30.000,27d9be17-d4d3-41fe-921b-ceebd3539d96,
