com.samsung.shealth.tracker.pedometer_day_summary,6307003,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,4343,34466902-2a67-4daa-a110-f30d495914ba.binning_data.json,2571483,6000,,11,2020-06-18 16:13:16.425,com.sec.android.app.shealth,2020-06-18 02:12:16.264,34466902-2a67-4daa-a110-f30d495914ba.source_info.json,1.3045231,3354.56,178.4,4332,VfS0qUERdZ,com.sec.android.app.shealth,0,34466902-2a67-4daa-a110-f30d495914ba.achievement.json,34466902-2a67-4daa-a110-f30d495914ba,1592438400000,
,5721,ee0bad0a-d04e-42f6-8126-cf0fa91c6b36.binning_data.json,1562261,6000,,39,2019-09-20 18:30:33.888,com.sec.android.app.shealth,2019-09-20 18:30:33.888,,3.7013469,1910.47,343.67996,5682,NCYwqyvfDX,com.sec.android.app.shealth,0,ee0bad0a-d04e-42f6-8126-cf0fa91c6b36.achievement.json,ee0bad0a-d04e-42f6-8126-cf0fa91c6b36,1568937600000,
,2860,fe5328ef-fbf0-4ddc-ae01-ea3a58986a1a.binning_data.json,1670936,6000,,8,2020-02-22 18:30:01.640,com.sec.android.app.shealth,2020-02-22 18:30:01.640,,6.9444447,2228.92,118.35999,2852,NCYwqyvfDX,com.sec.android.app.shealth,0,fe5328ef-fbf0-4ddc-ae01-ea3a58986a1a.achievement.json,fe5328ef-fbf0-4ddc-ae01-ea3a58986a1a,1582329600000,
,3036,a96d340d-7d27-48c0-b7e6-827335162e4c.binning_data.json,1775838,6000,,0,2020-02-02 18:30:01.125,com.sec.android.app.shealth,2020-02-02 18:30:01.125,,2.396621,2283.93,179.30998,3036,NCYwqyvfDX,com.sec.android.app.shealth,0,a96d340d-7d27-48c0-b7e6-827335162e4c.achievement.json,a96d340d-7d27-48c0-b7e6-827335162e4c,1580601600000,
,964,8a87698f-a578-4b84-9c60-207a32c1f231.binning_data.json,572034,6000,,4,2019-10-31 18:30:01.027,com.sec.android.app.shealth,2019-10-31 18:30:01.027,,2.0942795,743.28,39.79,960,NCYwqyvfDX,com.sec.android.app.shealth,0,8a87698f-a578-4b84-9c60-207a32c1f231.achievement.json,8a87698f-a578-4b84-9c60-207a32c1f231,1572480000000,
,3915,3b217b2d-9e87-4e06-b1c0-ad0eda41e50b.binning_data.json,858489,6000,,0,2019-07-05 18:30:01.062,com.sec.android.app.shealth,2019-07-05 18:30:01.062,,1.9722222,1088.85,142.37,3915,NCYwqyvfDX,com.sec.android.app.shealth,0,3b217b2d-9e87-4e06-b1c0-ad0eda41e50b.achievement.json,3b217b2d-9e87-4e06-b1c0-ad0eda41e50b,1562284800000,
,341,55752e40-066e-49e5-9813-a6aeeb80b670.binning_data.json,71404,6000,,0,2019-08-08 18:08:39.033,com.sec.android.app.shealth,2019-08-07 18:32:42.319,55752e40-066e-49e5-9813-a6aeeb80b670.source_info.json,1.3693821,97.78,13.889999,341,VfS0qUERdZ,com.sec.android.app.shealth,0,55752e40-066e-49e5-9813-a6aeeb80b670.achievement.json,55752e40-066e-49e5-9813-a6aeeb80b670,1565222400000,
,785,a67528e1-427c-480b-b85b-181d6b5f7ad8.binning_data.json,451206,6000,,41,2019-11-24 18:30:01.139,com.sec.android.app.shealth,2019-11-24 18:30:01.139,,6.909587,701.38,40.399998,744,NCYwqyvfDX,com.sec.android.app.shealth,0,a67528e1-427c-480b-b85b-181d6b5f7ad8.achievement.json,a67528e1-427c-480b-b85b-181d6b5f7ad8,1574553600000,
,4944,d725b3fc-3ef7-4ee1-87dd-2e25d3c1dc3f.binning_data.json,3085834,6000,,0,2019-10-25 17:46:30.950,com.sec.android.app.shealth,2019-10-24 18:41:25.734,d725b3fc-3ef7-4ee1-87dd-2e25d3c1dc3f.source_info.json,1.1813693,3645.51,293.22998,4944,VfS0qUERdZ,com.sec.android.app.shealth,0,d725b3fc-3ef7-4ee1-87dd-2e25d3c1dc3f.achievement.json,d725b3fc-3ef7-4ee1-87dd-2e25d3c1dc3f,1571961600000,
,3915,ef57bb0f-34ca-4218-a55b-dd6c6eaddf3c.binning_data.json,858565,6000,,0,2019-07-05 18:23:31.166,com.sec.android.app.shealth,2019-07-04 18:59:09.575,ef57bb0f-34ca-4218-a55b-dd6c6eaddf3c.source_info.json,1.2682198,1088.85,142.37,3915,VfS0qUERdZ,com.sec.android.app.shealth,0,ef57bb0f-34ca-4218-a55b-dd6c6eaddf3c.achievement.json,ef57bb0f-34ca-4218-a55b-dd6c6eaddf3c,1562284800000,
