com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-03-01 18:06:58.001,,2025-03-01 20:11:08.305,2025-03-01 20:11:08.055,,,2.0,1c8681a8-59fb-4aa9-83fd-ccd1afed1842.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-01 20:10:21.000,1c8681a8-59fb-4aa9-83fd-ccd1afed1842,
2025-03-01 20:10:21.000,,2025-03-01 22:30:55.408,2025-03-01 22:30:55.408,,,1.0,366b213f-70ce-4f9a-a8ae-a1b1c84e0a98.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-01 22:27:16.000,366b213f-70ce-4f9a-a8ae-a1b1c84e0a98,
2025-03-01 22:27:15.999,,2025-03-01 23:10:08.763,2025-03-01 23:10:08.763,,,1.0,2ca869e3-bcb4-4136-95ee-b3cd855c535f.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-01 23:07:27.999,2ca869e3-bcb4-4136-95ee-b3cd855c535f,
2025-03-01 23:07:28.000,,2025-03-02 00:18:02.356,2025-03-02 00:18:02.356,,,1.0,c29f1c64-dc4b-4e00-a1fd-a91b384935d6.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-02 00:17:35.001,c29f1c64-dc4b-4e00-a1fd-a91b384935d6,
2025-03-02 00:17:35.001,,2025-03-02 00:36:32.174,2025-03-02 00:36:32.174,,,1.0,1b6c8618-dd54-4b8f-8af6-88991b2cb878.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-02 00:36:06.001,1b6c8618-dd54-4b8f-8af6-88991b2cb878,
2025-03-02 00:36:06.000,,2025-03-02 00:51:52.202,2025-03-02 00:51:52.202,,,1.0,1a397276-34bf-45ba-9211-eabdd3704472.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-02 00:51:10.000,1a397276-34bf-45ba-9211-eabdd3704472,
2025-03-03 05:00:00.772,,2025-03-03 15:01:44.545,2025-03-03 15:01:44.545,,,1.0,3ea79fb8-b28e-4008-98fd-219768391bb6.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-03 14:58:51.000,3ea79fb8-b28e-4008-98fd-219768391bb6,
2025-03-03 14:58:51.000,,2025-03-03 15:26:32.867,2025-03-03 15:26:05.945,,,3.0,431b0408-3894-4d40-9cd3-1df89989d394.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-03 15:25:53.000,431b0408-3894-4d40-9cd3-1df89989d394,
2025-03-03 15:25:53.000,,2025-03-03 17:09:49.413,2025-03-03 17:09:49.413,,,1.0,9255d23e-9894-4ba0-8e53-f9d26bc92c24.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-03 17:09:19.000,9255d23e-9894-4ba0-8e53-f9d26bc92c24,
2025-03-03 17:09:19.000,,2025-03-03 17:10:59.669,2025-03-03 17:10:59.669,,,1.0,44716f80-929b-4a17-9eaf-1edc90711fa3.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-03 17:10:25.000,44716f80-929b-4a17-9eaf-1edc90711fa3,
