com.samsung.health.water_intake,6307003,6
start_time,amount,custom,update_time,create_time,client_data_id,client_data_ver,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2020-07-16 16:29:35.651,250.0,,2020-07-16 16:29:36.042,2020-07-16 16:29:36.042,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,b3002e20-fd08-4c53-9e43-e5f6708bed59,
2020-07-16 05:04:11.390,250.0,,2020-07-16 05:04:11.748,2020-07-16 05:04:11.748,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,d8af78f5-c484-4b90-96e8-4800708b6dc7,
2020-07-14 07:21:37.303,250.0,,2020-07-14 07:21:37.661,2020-07-14 07:21:37.661,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,7e462a63-d58e-4bab-8e8d-e937fabf66ac,
2020-07-08 14:59:41.556,250.0,,2020-07-08 14:59:41.924,2020-07-08 14:59:41.924,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,36615c61-cbe0-4085-a8cc-5da5895fdbd9,
2020-07-06 05:16:37.936,250.0,,2020-07-06 05:16:38.297,2020-07-06 05:16:38.297,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,83cd50b5-1016-46e1-b254-e8aeb4504366,
2020-07-18 05:10:55.042,250.0,,2020-07-18 05:10:55.398,2020-07-18 05:10:55.398,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,778d7123-f1ac-47b5-b274-80e7d0702ac6,
2020-07-12 14:40:35.974,250.0,,2020-07-12 14:40:36.343,2020-07-12 14:40:36.343,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,5b5a12c1-eedd-4b65-abd3-43b668e82971,
2021-04-10 17:56:19.734,250.0,,2021-04-10 17:56:20.092,2021-04-10 17:56:20.092,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,acb3e274-2944-4bc7-a75f-6800f1969355,
2020-07-13 04:07:39.435,250.0,,2020-07-13 04:07:39.794,2020-07-13 04:07:39.794,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,18894104-6d88-48b6-bbab-37b76b9bf864,
2020-07-12 17:37:38.411,250.0,,2020-07-12 17:37:38.782,2020-07-12 17:37:38.782,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,3d584ffb-bae7-445b-bc9b-dae9b7149cee,
2020-07-14 07:21:38.355,250.0,,2020-07-14 07:21:38.710,2020-07-14 07:21:38.710,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,b426737f-d211-4e5a-8d07-aeaa18e3e0a0,
2021-04-10 17:56:20.751,250.0,,2021-04-10 17:56:21.109,2021-04-10 17:56:21.109,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,8e0c7777-e258-4895-b244-6c5fbcc61bad,
2020-07-18 08:37:41.670,250.0,,2020-07-18 08:37:42.041,2020-07-18 08:37:42.041,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,51ce3725-548b-42fc-a629-bdbb1953a306,
2020-07-12 17:37:36.690,250.0,,2020-07-12 17:37:37.064,2020-07-12 17:37:37.064,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,be984ce0-ef02-4803-8b60-48b0c4cd619b,
2019-08-19 15:43:20.447,250.0,,2019-08-19 15:43:20.803,2019-08-19 15:43:20.803,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,226cd612-977d-466c-ab0e-483f83938105,
2020-07-20 12:15:22.738,250.0,,2020-07-20 12:15:23.109,2020-07-20 12:15:23.109,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,16ebbf5b-217a-423e-9f7f-bce39bae7034,
2020-07-12 07:19:27.748,250.0,,2020-07-12 07:19:28.106,2020-07-12 07:19:28.106,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,8d198074-e227-4b82-a742-6027c4250776,
2020-07-11 07:06:48.264,250.0,,2020-07-11 07:06:48.619,2020-07-11 07:06:48.619,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,5b3c28a1-e33d-4cab-b05e-84eaf78bc1f6,
2020-07-07 13:59:48.155,250.0,,2020-07-07 13:59:48.515,2020-07-07 13:59:48.515,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,e8bd3472-5879-4823-bd36-4bd90b002591,
2020-07-12 14:40:36.419,250.0,,2020-07-12 14:40:36.774,2020-07-12 14:40:36.774,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,19c974cc-2172-4256-9180-e975a8672a73,
2020-07-27 13:36:26.272,250.0,,2020-07-27 13:36:26.648,2020-07-27 13:36:26.648,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,336bf286-0c08-4dda-aa6b-a6104ab9ce51,
2020-07-15 15:50:43.961,250.0,,2020-07-15 15:50:44.325,2020-07-15 15:50:44.325,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,4183bb0e-adff-412d-a3e5-c0038ec19796,
